2013 Ranking,2015 Ranking,Country,Excel Calculated Curve,Excel Sigmoid,Excel Size,color,t
5,7,Benin,5.0049452463132695,0.0024726231566347743,2,2,-6.0
5,7,Benin,5.008140275431792,0.004070137715896128,2,2,-5.5
5,7,Benin,5.01338570184857,0.0066928509242848554,2,2,-5.0
5,7,Benin,5.021973885261186,0.01098694263059318,2,2,-4.5
5,7,Benin,5.0359724199241835,0.01798620996209156,2,2,-4.0
5,7,Benin,5.0586244615027125,0.02931223075135632,2,2,-3.5
5,7,Benin,5.0948517463551335,0.04742587317756678,2,2,-3.0
5,7,Benin,5.151716360042487,0.07585818002124355,2,2,-2.5
5,7,Benin,5.238405844044235,0.11920292202211755,2,2,-2.0
5,7,Benin,5.364851047612713,0.18242552380635635,2,2,-1.5
5,7,Benin,5.53788284273999,0.2689414213699951,2,2,-1.0
5,7,Benin,5.755081337596291,0.3775406687981454,2,2,-0.5
5,7,Benin,6.0,0.5,2,2,0.0
5,7,Benin,6.244918662403709,0.6224593312018546,2,2,0.5
5,7,Benin,6.46211715726001,0.7310585786300049,2,2,1.0
5,7,Benin,6.635148952387287,0.8175744761936437,2,2,1.5
5,7,Benin,6.761594155955764,0.8807970779778823,2,2,2.0
5,7,Benin,6.848283639957513,0.9241418199787566,2,2,2.5
5,7,Benin,6.9051482536448665,0.9525741268224334,2,2,3.0
5,7,Benin,6.9413755384972875,0.9706877692486436,2,2,3.5
5,7,Benin,6.9640275800758165,0.9820137900379085,2,2,4.0
5,7,Benin,6.978026114738814,0.9890130573694068,2,2,4.5
5,7,Benin,6.98661429815143,0.9933071490757153,2,2,5.0
5,7,Benin,6.991859724568208,0.995929862284104,2,2,5.5
6,8,Dominica,6.0049452463132695,0.0024726231566347743,2,2,-6.0
6,8,Dominica,6.008140275431792,0.004070137715896128,2,2,-5.5
6,8,Dominica,6.01338570184857,0.0066928509242848554,2,2,-5.0
6,8,Dominica,6.021973885261186,0.01098694263059318,2,2,-4.5
6,8,Dominica,6.0359724199241835,0.01798620996209156,2,2,-4.0
6,8,Dominica,6.0586244615027125,0.02931223075135632,2,2,-3.5
6,8,Dominica,6.0948517463551335,0.04742587317756678,2,2,-3.0
6,8,Dominica,6.151716360042487,0.07585818002124355,2,2,-2.5
6,8,Dominica,6.238405844044235,0.11920292202211755,2,2,-2.0
6,8,Dominica,6.364851047612713,0.18242552380635635,2,2,-1.5
6,8,Dominica,6.53788284273999,0.2689414213699951,2,2,-1.0
6,8,Dominica,6.755081337596291,0.3775406687981454,2,2,-0.5
6,8,Dominica,7.0,0.5,2,2,0.0
6,8,Dominica,7.244918662403709,0.6224593312018546,2,2,0.5
6,8,Dominica,7.46211715726001,0.7310585786300049,2,2,1.0
6,8,Dominica,7.635148952387287,0.8175744761936437,2,2,1.5
6,8,Dominica,7.761594155955764,0.8807970779778823,2,2,2.0
6,8,Dominica,7.848283639957513,0.9241418199787566,2,2,2.5
6,8,Dominica,7.9051482536448665,0.9525741268224334,2,2,3.0
6,8,Dominica,7.9413755384972875,0.9706877692486436,2,2,3.5
6,8,Dominica,7.9640275800758165,0.9820137900379085,2,2,4.0
6,8,Dominica,7.978026114738814,0.9890130573694068,2,2,4.5
6,8,Dominica,7.98661429815143,0.9933071490757153,2,2,5.0
6,8,Dominica,7.991859724568208,0.995929862284104,2,2,5.5
7,9,Belize,7.0049452463132695,0.0024726231566347743,2,2,-6.0
7,9,Belize,7.008140275431792,0.004070137715896128,2,2,-5.5
7,9,Belize,7.01338570184857,0.0066928509242848554,2,2,-5.0
7,9,Belize,7.021973885261186,0.01098694263059318,2,2,-4.5
7,9,Belize,7.0359724199241835,0.01798620996209156,2,2,-4.0
7,9,Belize,7.0586244615027125,0.02931223075135632,2,2,-3.5
7,9,Belize,7.0948517463551335,0.04742587317756678,2,2,-3.0
7,9,Belize,7.151716360042487,0.07585818002124355,2,2,-2.5
7,9,Belize,7.238405844044235,0.11920292202211755,2,2,-2.0
